dc.identifier.uri	dc.source.uri	dc.creator	dc.relation
https://hdl.handle.net/10794/228	https://spraakbanken.gu.se/en/resources/fsv-aldrereligiosprosa	n/a, n/a	
https://hdl.handle.net/10794/229	https://spraakbanken.gu.se/en/resources/fsv-nysvenskbibel	n/a, n/a	
https://hdl.handle.net/10794/230	https://spraakbanken.gu.se/en/resources/fsv-nysvenskdalin	n/a, n/a	
https://hdl.handle.net/10794/231	https://spraakbanken.gu.se/en/resources/fsv-nysvenskkronikor	n/a, n/a	
https://hdl.handle.net/10794/232	https://spraakbanken.gu.se/en/resources/fsv-nysvensklagar	n/a, n/a	
https://hdl.handle.net/10794/233	https://spraakbanken.gu.se/en/resources/fsv-nysvenskovrigt	n/a, n/a	
https://hdl.handle.net/10794/234	https://spraakbanken.gu.se/en/resources/fsv-profanprosa	n/a, n/a	
https://hdl.handle.net/10794/235	https://spraakbanken.gu.se/en/resources/fsv-verser	n/a, n/a	
https://hdl.handle.net/10794/236	https://spraakbanken.gu.se/en/resources/fsv-yngrelagar	n/a, n/a	
https://hdl.handle.net/10794/237	https://spraakbanken.gu.se/en/resources/fsv-yngrereligiosprosa	n/a, n/a	
https://hdl.handle.net/10794/238	https://spraakbanken.gu.se/en/resources/fsv-yngretankebocker	n/a, n/a	
https://hdl.handle.net/10794/239	https://spraakbanken.gu.se/en/resources/fts	Kirsti Hansen	
https://hdl.handle.net/10794/240	https://spraakbanken.gu.se/en/resources/gdc	n/a, n/a	
https://hdl.handle.net/10794/241	https://spraakbanken.gu.se/en/resources/gigaword	n/a, n/a	
https://hdl.handle.net/10794/242	https://spraakbanken.gu.se/en/resources/gp1994	n/a, n/a	
https://hdl.handle.net/10794/243	https://spraakbanken.gu.se/en/resources/gp2001	n/a, n/a	
https://hdl.handle.net/10794/244	https://spraakbanken.gu.se/en/resources/gp2002	n/a, n/a	
https://hdl.handle.net/10794/245	https://spraakbanken.gu.se/en/resources/gp2003	n/a, n/a	
https://hdl.handle.net/10794/246	https://spraakbanken.gu.se/en/resources/gp2004	n/a, n/a	
https://hdl.handle.net/10794/247	https://spraakbanken.gu.se/en/resources/gp2005	n/a, n/a	
https://hdl.handle.net/10794/248	https://spraakbanken.gu.se/en/resources/gp2006	n/a, n/a	
https://hdl.handle.net/10794/249	https://spraakbanken.gu.se/en/resources/gp2007	n/a, n/a	
https://hdl.handle.net/10794/250	https://spraakbanken.gu.se/en/resources/gp2008	n/a, n/a	
https://hdl.handle.net/10794/251	https://spraakbanken.gu.se/en/resources/gp2009	n/a, n/a	
https://hdl.handle.net/10794/252	https://spraakbanken.gu.se/en/resources/gp2010	n/a, n/a	
https://hdl.handle.net/10794/253	https://spraakbanken.gu.se/en/resources/gp2011	n/a, n/a	
https://hdl.handle.net/10794/254	https://spraakbanken.gu.se/en/resources/gp2012	n/a, n/a	
https://hdl.handle.net/10794/255	https://spraakbanken.gu.se/en/resources/gp2013	n/a, n/a	
https://hdl.handle.net/10794/256	https://spraakbanken.gu.se/en/resources/gp2d	n/a, n/a	
https://hdl.handle.net/10794/257	https://spraakbanken.gu.se/en/resources/hankeiten	n/a, n/a	
https://hdl.handle.net/10794/258	https://spraakbanken.gu.se/en/resources/hanken	n/a, n/a	
